Uniprot ID,Description,Gene name,Log2(average_P/S)
O75962,Triple functional domain protein OS=Homo sapiens OX=9606 GN=TRIO PE=1 SV=2,TRIO,5.396026083
P52756,RNA-binding protein 5 OS=Homo sapiens OX=9606 GN=RBM5 PE=1 SV=2,RBM5,5.380174045
Q9UDY2,Tight junction protein ZO-2 OS=Homo sapiens OX=9606 GN=TJP2 PE=1 SV=2,TJP2,5.377833295
Q9Y291,"28S ribosomal protein S33, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS33 PE=1 SV=1",MRPS33,5.376532745
Q9NUL3,Double-stranded RNA-binding protein Staufen homolog 2 OS=Homo sapiens OX=9606 GN=STAU2 PE=1 SV=2,,5.344125635
Q8NI35,InaD-like protein OS=Homo sapiens OX=9606 GN=PATJ PE=1 SV=3,INADL; PATJ,5.330398439
Q5VYV7,Protein SLX4IP OS=Homo sapiens OX=9606 GN=SLX4IP PE=1 SV=1,SLX4IP,5.317009191
Q9BZJ0,Crooked neck-like protein 1 OS=Homo sapiens OX=9606 GN=CRNKL1 PE=1 SV=4,CRNKL1,5.313086467
Q6UB99,Ankyrin repeat domain-containing protein 11 OS=Homo sapiens OX=9606 GN=ANKRD11 PE=1 SV=3,ANKRD11,5.306206286
Q5T5X7,BEN domain-containing protein 3 OS=Homo sapiens OX=9606 GN=BEND3 PE=1 SV=1,BEND3,5.304751662
Q9ULU4,Protein kinase C-binding protein 1 OS=Homo sapiens OX=9606 GN=ZMYND8 PE=1 SV=2,ZMYND8,5.304407615
P37275,Zinc finger E-box-binding homeobox 1 OS=Homo sapiens OX=9606 GN=ZEB1 PE=1 SV=2,ZEB1,5.303415704
Q96N67,Dedicator of cytokinesis protein 7 OS=Homo sapiens OX=9606 GN=DOCK7 PE=1 SV=4,DOCK7,5.293539205
Q7KZ85,Transcription elongation factor SPT6 OS=Homo sapiens OX=9606 GN=SUPT6H PE=1 SV=2,SPT6,5.288292561
Q9C0J8,pre-mRNA 3' end processing protein WDR33 OS=Homo sapiens OX=9606 GN=WDR33 PE=1 SV=2,WDR33,5.26498921
P82675,"28S ribosomal protein S5, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS5 PE=1 SV=2",MRPS5,5.243262329
P35240,Merlin OS=Homo sapiens OX=9606 GN=NF2 PE=1 SV=1,NF2,5.225879458
O75494,Serine/arginine-rich splicing factor 10 OS=Homo sapiens OX=9606 GN=SRSF10 PE=1 SV=1,SRSF10; LOC100996657,5.221141231
P18621,60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3,RPL17,5.198381503
O15160,DNA-directed RNA polymerases I and III subunit RPAC1 OS=Homo sapiens OX=9606 GN=POLR1C PE=1 SV=1,POLR1C,5.196320118
Q9BZK7,F-box-like/WD repeat-containing protein TBL1XR1 OS=Homo sapiens OX=9606 GN=TBL1XR1 PE=1 SV=1,TBL1XR1,5.190541461
P22087,rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=2,FBL,5.151791132
Q9UKV3,Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=2,ACIN1,5.142542851
Q13247,Serine/arginine-rich splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=2,SRSF6,5.132129606
Q96S97,Myeloid-associated differentiation marker OS=Homo sapiens OX=9606 GN=MYADM PE=1 SV=2,MYADM,5.13107826
Q12797,Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens OX=9606 GN=ASPH PE=1 SV=3,ASPH,5.125680271
Q14137,Ribosome biogenesis protein BOP1 OS=Homo sapiens OX=9606 GN=BOP1 PE=1 SV=2,BOP1,5.108571945
Q15393,Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4,SF3B3,5.105288558
O60832,H/ACA ribonucleoprotein complex subunit DKC1 OS=Homo sapiens OX=9606 GN=DKC1 PE=1 SV=3,DKC1,5.077610753
Q8NEW0,Zinc transporter 7 OS=Homo sapiens OX=9606 GN=SLC30A7 PE=2 SV=1,SLC30A7,5.074901847
Q9NXC5,GATOR complex protein MIOS OS=Homo sapiens OX=9606 GN=MIOS PE=1 SV=2,MIOS,5.074095477
Q6UWZ7,BRCA1-A complex subunit Abraxas 1 OS=Homo sapiens OX=9606 GN=ABRAXAS1 PE=1 SV=2,FAM175A; ABRAXAS1,5.063538641
Q08170,Serine/arginine-rich splicing factor 4 OS=Homo sapiens OX=9606 GN=SRSF4 PE=1 SV=2,SRSF4,5.05888041
Q8NC60,Nitric oxide-associated protein 1 OS=Homo sapiens OX=9606 GN=NOA1 PE=1 SV=2,NOA1,5.05262875
Q9NVM9,Integrator complex subunit 13 OS=Homo sapiens OX=9606 GN=INTS13 PE=1 SV=2,ASUN; INTS13,5.045260445
Q9UQR1,Zinc finger protein 148 OS=Homo sapiens OX=9606 GN=ZNF148 PE=1 SV=2,ZNF148,5.042148817
Q86U38,Nucleolar protein 9 OS=Homo sapiens OX=9606 GN=NOP9 PE=1 SV=1,NOP9,5.037565499
O95810,Caveolae-associated protein 2 OS=Homo sapiens OX=9606 GN=CAVIN2 PE=1 SV=3,SDPR; CAVIN2,5.025769641
Q12789,General transcription factor 3C polypeptide 1 OS=Homo sapiens OX=9606 GN=GTF3C1 PE=1 SV=4,GTF3C1,5.008173437
Q9BRZ2,E3 ubiquitin-protein ligase TRIM56 OS=Homo sapiens OX=9606 GN=TRIM56 PE=1 SV=3,TRIM56,5.004536743
Q9NPI6,mRNA-decapping enzyme 1A OS=Homo sapiens OX=9606 GN=DCP1A PE=1 SV=3,DCP1A,4.998136535
Q12899,Tripartite motif-containing protein 26 OS=Homo sapiens OX=9606 GN=TRIM26 PE=1 SV=1,TRIM26,4.986974958
Q12888,TP53-binding protein 1 OS=Homo sapiens OX=9606 GN=TP53BP1 PE=1 SV=2,TP53BP1,4.9806978
Q96S52,GPI transamidase component PIG-S OS=Homo sapiens OX=9606 GN=PIGS PE=1 SV=3,PIGS,4.974267287
Q8IU60,m7GpppN-mRNA hydrolase OS=Homo sapiens OX=9606 GN=DCP2 PE=1 SV=3,DCP2,4.965455924
Q16576,Histone-binding protein RBBP7 OS=Homo sapiens OX=9606 GN=RBBP7 PE=1 SV=1,RBBP7,4.959261157
P46776,60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=2,RPL27A,4.951867789
O43719,HIV Tat-specific factor 1 OS=Homo sapiens OX=9606 GN=HTATSF1 PE=1 SV=1,HTATSF1,4.943306664
O00767,Stearoyl-CoA desaturase OS=Homo sapiens OX=9606 GN=SCD PE=1 SV=2,SCD,4.939614716
O95819,Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens OX=9606 GN=MAP4K4 PE=1 SV=2,MAP4K4,4.926007496
Q6NW34,Nucleolus and neural progenitor protein OS=Homo sapiens OX=9606 GN=NEPRO PE=1 SV=3,C3orf17; NEPRO,4.925466462
Q1KMD3,Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Homo sapiens OX=9606 GN=HNRNPUL2 PE=1 SV=1,HNRNPUL2,4.923609665
Q9BYW2,Histone-lysine N-methyltransferase SETD2 OS=Homo sapiens OX=9606 GN=SETD2 PE=1 SV=3,SETD2,4.920696087
Q15287,RNA-binding protein with serine-rich domain 1 OS=Homo sapiens OX=9606 GN=RNPS1 PE=1 SV=1,RNPS1,4.915231489
Q9UHB9,Signal recognition particle subunit SRP68 OS=Homo sapiens OX=9606 GN=SRP68 PE=1 SV=2,SRP68,4.911840125
Q08945,FACT complex subunit SSRP1 OS=Homo sapiens OX=9606 GN=SSRP1 PE=1 SV=1,SSRP1,4.906820886
P53618,Coatomer subunit beta OS=Homo sapiens OX=9606 GN=COPB1 PE=1 SV=3,COPB1,4.897521573
Q16795,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFA9 PE=1 SV=2",NDUFA9,4.879690708
Q86X10,Ral GTPase-activating protein subunit beta OS=Homo sapiens OX=9606 GN=RALGAPB PE=1 SV=1,RALGAPB,4.854611868
Q9NXF1,Testis-expressed protein 10 OS=Homo sapiens OX=9606 GN=TEX10 PE=1 SV=2,TEX10,4.853990763
Q92889,DNA repair endonuclease XPF OS=Homo sapiens OX=9606 GN=ERCC4 PE=1 SV=3,ERCC4,4.845035633
Q9UBB9,Tuftelin-interacting protein 11 OS=Homo sapiens OX=9606 GN=TFIP11 PE=1 SV=1,TFIP11,4.843068663
Q9BZH6,WD repeat-containing protein 11 OS=Homo sapiens OX=9606 GN=WDR11 PE=1 SV=1,WDR11,4.823441852
O95613,Pericentrin OS=Homo sapiens OX=9606 GN=PCNT PE=1 SV=4,PCNT,4.819893339
Q96G21,U3 small nucleolar ribonucleoprotein protein IMP4 OS=Homo sapiens OX=9606 GN=IMP4 PE=1 SV=1,IMP4,4.81546162
Q12800,Alpha-globin transcription factor CP2 OS=Homo sapiens OX=9606 GN=TFCP2 PE=1 SV=2,TFCP2,4.807429031
Q5VZL5,Zinc finger MYM-type protein 4 OS=Homo sapiens OX=9606 GN=ZMYM4 PE=1 SV=1,ZMYM4,4.802421157
P17028,Zinc finger protein 24 OS=Homo sapiens OX=9606 GN=ZNF24 PE=1 SV=4,ZNF24,4.794051365
Q96RL1,BRCA1-A complex subunit RAP80 OS=Homo sapiens OX=9606 GN=UIMC1 PE=1 SV=2,UIMC1,4.787443261
Q9NQV6,PR domain zinc finger protein 10 OS=Homo sapiens OX=9606 GN=PRDM10 PE=1 SV=3,PRDM10,4.77544371
A1L0T0,2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2,ILVBL,4.770237758
Q00839,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6,HNRNPU,4.760122118
Q9H0A0,RNA cytidine acetyltransferase OS=Homo sapiens OX=9606 GN=NAT10 PE=1 SV=2,NAT10,4.758409491
Q9HC78,Zinc finger and BTB domain-containing protein 20 OS=Homo sapiens OX=9606 GN=ZBTB20 PE=1 SV=3,ZBTB20,4.748608208
Q8TD26,Chromodomain-helicase-DNA-binding protein 6 OS=Homo sapiens OX=9606 GN=CHD6 PE=1 SV=4,CHD6,4.72742142
Q4G0J3,La-related protein 7 OS=Homo sapiens OX=9606 GN=LARP7 PE=1 SV=1,LARP7,4.720463559
Q3B726,DNA-directed RNA polymerase I subunit RPA43 OS=Homo sapiens OX=9606 GN=POLR1F PE=1 SV=1,TWISTNB,4.717075568
Q96Q89,Kinesin-like protein KIF20B OS=Homo sapiens OX=9606 GN=KIF20B PE=1 SV=3,KIF20B,4.713311774
P84098,60S ribosomal protein L19 OS=Homo sapiens OX=9606 GN=RPL19 PE=1 SV=1,RPL19,4.696980518
O75165,DnaJ homolog subfamily C member 13 OS=Homo sapiens OX=9606 GN=DNAJC13 PE=1 SV=5,DNAJC13,4.693868337
Q9BUJ2,Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=2,HNRNPUL1,4.693317008
Q99728,BRCA1-associated RING domain protein 1 OS=Homo sapiens OX=9606 GN=BARD1 PE=1 SV=2,BARD1,4.692250201
P51571,Translocon-associated protein subunit delta OS=Homo sapiens OX=9606 GN=SSR4 PE=1 SV=1,SSR4,4.692109047
Q9H583,HEAT repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=HEATR1 PE=1 SV=3,HEATR1,4.691827079
Q15573,TATA box-binding protein-associated factor RNA polymerase I subunit A OS=Homo sapiens OX=9606 GN=TAF1A PE=1 SV=1,TAF1A,4.684368315
Q9P0U4,CXXC-type zinc finger protein 1 OS=Homo sapiens OX=9606 GN=CXXC1 PE=1 SV=2,CXXC1,4.675149571
Q9NU22,Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2,MDN1,4.67374617
Q96R06,Sperm-associated antigen 5 OS=Homo sapiens OX=9606 GN=SPAG5 PE=1 SV=2,SPAG5,4.660017294
Q9H8H0,Nucleolar protein 11 OS=Homo sapiens OX=9606 GN=NOL11 PE=1 SV=1,NOL11,4.64751048
P62249,40S ribosomal protein S16 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=2,RPS16,4.645241806
Q9H6F5,Coiled-coil domain-containing protein 86 OS=Homo sapiens OX=9606 GN=CCDC86 PE=1 SV=1,CCDC86,4.643787735
O60783,"28S ribosomal protein S14, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS14 PE=1 SV=1",MRPS14,4.63528086
Q9Y262,Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens OX=9606 GN=EIF3L PE=1 SV=1,EIF3L,4.630243832
Q9H4L4,Sentrin-specific protease 3 OS=Homo sapiens OX=9606 GN=SENP3 PE=1 SV=2,SENP3,4.628193036
O95365,Zinc finger and BTB domain-containing protein 7A OS=Homo sapiens OX=9606 GN=ZBTB7A PE=1 SV=1,ZBTB7A,4.616356788
P51991,Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens OX=9606 GN=HNRNPA3 PE=1 SV=2,HNRNPA3,4.607506458
Q9NWB6,Arginine and glutamate-rich protein 1 OS=Homo sapiens OX=9606 GN=ARGLU1 PE=1 SV=1,ARGLU1,4.60093255
P61019,Ras-related protein Rab-2A OS=Homo sapiens OX=9606 GN=RAB2A PE=1 SV=1,RAB2A,4.593294988
Q8NEZ3,WD repeat-containing protein 19 OS=Homo sapiens OX=9606 GN=WDR19 PE=1 SV=2,WDR19,4.589308155
Q96JI7,Spatacsin OS=Homo sapiens OX=9606 GN=SPG11 PE=1 SV=3,SPG11,4.582266582
